x1,y1,x2,y2,Class,image
77,114,960,646,8,06002.jpg
4,31,259,146,70,03261.jpg
30,20,802,405,97,05580.jpg
116,185,546,413,108,07933.jpg
2,169,629,369,61,01062.jpg
17,80,735,492,6,01255.jpg
48,45,589,320,58,00692.jpg
42,106,336,266,95,07855.jpg
72,1,569,420,58,02942.jpg
93,162,714,418,133,02555.jpg
15,32,296,149,190,00805.jpg
8,78,231,160,181,03212.jpg
11,59,253,138,22,04650.jpg
37,379,1579,1180,56,07405.jpg
68,169,712,401,43,01178.jpg
32,70,370,287,116,00964.jpg
56,99,392,239,162,03374.jpg
71,89,688,423,140,05755.jpg
66,65,572,354,86,04938.jpg
33,120,514,471,125,06246.jpg
114,117,524,360,109,01117.jpg
77,66,596,429,114,04063.jpg
116,119,378,256,44,05923.jpg
1,33,240,166,146,03528.jpg
45,142,591,337,194,06960.jpg
31,90,613,360,156,01417.jpg
82,92,1178,753,11,08051.jpg
257,205,697,438,130,07723.jpg
18,38,200,128,125,03509.jpg
49,322,925,646,7,07351.jpg
253,16,534,174,184,02602.jpg
21,30,463,244,78,06534.jpg
14,16,609,461,76,04258.jpg
76,290,1218,697,63,01654.jpg
5,20,388,239,165,01149.jpg
8,28,1005,616,14,05265.jpg
11,29,294,185,16,01180.jpg
117,95,612,362,82,00574.jpg
50,80,223,167,80,06410.jpg
3,33,261,176,107,00280.jpg
108,102,307,277,46,07635.jpg
61,26,578,480,50,05758.jpg
538,181,1783,988,170,02816.jpg
12,44,288,165,160,07335.jpg
30,102,607,446,149,07145.jpg
71,186,1206,781,157,04781.jpg
72,93,940,606,93,04042.jpg
86,164,535,391,58,02402.jpg
15,93,632,373,72,02091.jpg
8,53,462,252,15,07090.jpg
124,177,567,429,149,06555.jpg
82,60,445,301,82,04468.jpg
59,57,625,457,168,07113.jpg
70,39,940,742,193,00101.jpg
133,190,1788,951,83,01616.jpg
59,37,600,369,146,04327.jpg
35,118,573,332,194,00643.jpg
30,137,601,503,105,07724.jpg
29,32,585,379,182,02995.jpg
50,163,983,552,158,03173.jpg
49,34,751,501,166,06668.jpg
33,35,502,275,46,01381.jpg
98,22,650,302,50,00177.jpg
200,96,899,654,167,03548.jpg
103,163,1192,623,89,02440.jpg
64,207,907,483,152,06282.jpg
65,132,1790,1150,149,01718.jpg
83,76,211,151,39,03849.jpg
18,53,244,175,131,00388.jpg
32,62,603,423,120,02297.jpg
3,21,285,195,53,01382.jpg
144,643,3656,2288,57,05555.jpg
56,60,346,222,115,05005.jpg
50,155,637,392,181,08138.jpg
27,9,270,128,5,02739.jpg
187,124,683,454,163,05469.jpg
5,30,314,212,100,04664.jpg
48,92,209,181,70,02597.jpg
19,67,412,314,99,00437.jpg
33,97,413,245,15,06984.jpg
21,29,463,290,60,02388.jpg
152,195,595,446,159,08024.jpg
78,126,965,721,167,07180.jpg
